segment length,filters,kernel size,stacks,dropout,lr,dilation,Training Time,train loss,train acc,eval acc,Eval Acc,C1 correct,C1 as C2,C1 as C3,C1 as C4,C2 as C1,C2 correct,C2 as C3,C2 as C4,C3 as C1,C3 as C2,C3 correct,C3 as C4,C4 as C1,C4 as C2,C4 as C3,C4 correct
2400,16,6,2,0.175,0.0125,7,659.1898263620096,0.05555850639939308,0.981654167175293,0.9173233509063721,0.9248046875,400,0,0,3,0,523,1,80,0,0,200,0,0,0,29,270
2400,32,6,2,0.175,0.0125,7,1619.0936539150134,0.01344241015613079,0.9955248236656189,0.9809889793395996,0.99755859375,402,1,0,0,0,601,2,1,0,0,200,0,0,0,0,299
2400,64,6,2,0.175,0.0125,7,3123.541722501017,0.018710633739829063,0.9935332536697388,0.963652491569519,0.94140625,403,0,0,0,65,534,5,0,0,0,200,0,0,18,0,281
2400,16,6,1,0.175,0.0125,8,623.9300270380045,0.04924372583627701,0.9840674996376038,0.9741922616958618,0.98095703125,403,0,0,0,0,601,0,3,0,0,191,9,0,0,17,282
2400,32,6,1,0.175,0.0125,8,638.3456294710049,0.026408899575471878,0.990862250328064,0.978230893611908,0.95361328125,363,40,0,0,0,596,1,7,0,0,200,0,0,0,22,277
2400,64,6,1,0.175,0.0125,8,1099.0845393690106,0.01689615100622177,0.9944939017295837,0.9734699130058289,0.99609375,403,0,0,0,0,604,0,0,0,0,200,0,0,1,5,293
2400,16,11,1,0.175,0.0125,7,421.80751410199446,0.022398006170988083,0.9929943680763245,0.9748489856719971,0.99755859375,403,0,0,0,0,601,1,2,0,0,200,0,0,0,1,298
2400,32,11,1,0.175,0.0125,7,562.3813455009949,0.011449272744357586,0.9962745904922485,0.9864066243171692,0.990234375,396,7,0,0,0,601,2,1,0,1,199,0,0,0,4,295
2400,64,11,1,0.175,0.0125,7,1392.8705284539901,0.07670027017593384,0.9710871577262878,0.9442474246025085,0.98681640625,403,0,0,0,1,587,8,8,0,0,200,0,0,3,0,296
3600,16,8,1,0.175,0.0125,8,642.300958006992,0.01249732170253992,0.996115505695343,0.9616689682006836,0.9931640625,268,0,0,0,0,394,7,0,0,0,132,0,0,0,0,199
3600,32,8,1,0.175,0.0125,8,655.9770706290146,0.012331932783126831,0.9957042336463928,0.8747576475143433,0.84619140625,268,0,0,0,92,253,56,0,0,0,132,0,0,0,6,193
3600,64,8,1,0.175,0.0125,8,1276.2495512489986,0.010877260938286781,0.9967324733734131,0.879085898399353,0.80419921875,268,0,0,0,49,301,51,0,0,0,100,32,0,49,15,135
3600,16,16,2,0.175,0.0125,6,578.6952841950115,0.04584251716732979,0.9843935370445251,0.8523892164230347,0.85791015625,268,0,0,0,28,277,50,46,0,0,132,0,0,0,18,181
3600,32,16,2,0.175,0.0125,6,1865.5578374269826,0.13655908405780792,0.9410931468009949,0.8581717610359192,0.8271484375,268,0,0,0,51,228,97,25,0,0,132,0,0,0,0,199
3600,64,16,2,0.175,0.0125,6,7356.620306067984,0.34009867906570435,0.8580111265182495,0.8716066479682922,0.84521484375,263,0,0,5,16,302,67,16,0,0,132,0,1,43,7,148
3600,16,16,1,0.175,0.0125,7,312.02365409600316,0.030662748962640762,0.9907914996147156,0.9451523423194885,0.9912109375,268,0,0,0,8,393,0,0,0,0,132,0,0,0,1,198
3600,32,16,1,0.175,0.0125,7,598.9150329890253,0.032090287655591965,0.9899688959121704,0.8540512323379517,0.873046875,268,0,0,0,66,274,33,28,0,0,132,0,0,0,0,199
3600,64,16,1,0.175,0.0125,7,1648.5904272949847,0.09445267915725708,0.9651539921760559,0.9018698334693909,0.8779296875,268,0,0,0,1,298,45,57,0,0,132,0,0,19,0,180
2400,16,6,2,0.175,0.0125,7,1027.3659625429718,0.01761741377413273,0.9945986866950989,0.8188903331756592,0.8798828125,403,0,0,0,84,507,2,11,0,0,200,0,13,64,7,215
2400,32,6,2,0.175,0.0125,7,1486.8240097820235,0.0071282293647527695,0.9979225993156433,0.9216352105140686,0.89892578125,403,0,0,0,0,504,2,98,0,0,200,0,0,2,50,247
3600,16,16,1,0.175,0.0125,7,714.7319116789731,0.007370526436716318,0.9979656338691711,0.87305748462677,0.60693359375,0,268,0,0,0,377,0,24,0,0,132,0,0,68,33,98
3600,32,16,1,0.175,0.0125,7,1278.4732269019878,0.014881840907037258,0.9955243468284607,0.8598212599754333,0.59716796875,0,268,0,0,0,391,6,4,0,0,131,1,0,121,3,75
3600,64,16,1,0.175,0.0125,7,3492.7927244859748,0.1630246341228485,0.9366082549095154,0.8366042971611023,0.6318359375,0,9,0,259,0,327,7,67,0,0,132,0,0,25,1,173
